Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
5962,Direct Marketing & Travel Related Arrangements Services,Direct Marketing & Travel Related Arrangements Services,Direct Marketing - Travel,Yes,"'5962':{'combined description':'Direct Marketing & Travel Related Arrangements Services', 'USDA description':'Direct Marketing & Travel Related Arrangements Services','IRS Description':'Direct Marketing - Travel', 'reportable':'Yes'},"
5963,Door-to-Door Sales,Door-to-Door Sales,Door-To-Door Sales,No1.6041-3(c),"'5963':{'combined description':'Door-to-Door Sales', 'USDA description':'Door-to-Door Sales','IRS Description':'Door-To-Door Sales', 'reportable':'No1.6041-3(c)'},"
5964,Direct Marketing & Catalog Merchant,Direct Marketing & Catalog Merchant,Direct Marketing - Catalog Merchant,No1.6041-3(c),"'5964':{'combined description':'Direct Marketing & Catalog Merchant', 'USDA description':'Direct Marketing & Catalog Merchant','IRS Description':'Direct Marketing - Catalog Merchant', 'reportable':'No1.6041-3(c)'},"
5965,Direct Marketing & Catalog and Catalog and Retail Merchant,Direct Marketing & Catalog and Catalog and Retail Merchant,Direct Marketing - Combination Catalog and Retail Merchant,No1.6041-3(c),"'5965':{'combined description':'Direct Marketing & Catalog and Catalog and Retail Merchant', 'USDA description':'Direct Marketing & Catalog and Catalog and Retail Merchant','IRS Description':'Direct Marketing - Combination Catalog and Retail Merchant', 'reportable':'No1.6041-3(c)'},"
5966,Direct Marketing- Outbound Telemarketing Merchant,Direct Marketing- Outbound Telemarketing Merchant,Direct Marketing - Outbound Tele,No1.6041-3(c),"'5966':{'combined description':'Direct Marketing- Outbound Telemarketing Merchant', 'USDA description':'Direct Marketing- Outbound Telemarketing Merchant','IRS Description':'Direct Marketing - Outbound Tele', 'reportable':'No1.6041-3(c)'},"
5967,Direct Marketing & Inbound Teleservices Merchant,Direct Marketing & Inbound Teleservices Merchant,Direct Marketing - Inbound Tele,No1.6041-3(c),"'5967':{'combined description':'Direct Marketing & Inbound Teleservices Merchant', 'USDA description':'Direct Marketing & Inbound Teleservices Merchant','IRS Description':'Direct Marketing - Inbound Tele', 'reportable':'No1.6041-3(c)'},"
5968,Direct Marketing & Continuity/Subscription Merchant,Direct Marketing & Continuity/Subscription Merchant,Direct Marketing - Subscription,No1.6041-3(c),"'5968':{'combined description':'Direct Marketing & Continuity/Subscription Merchant', 'USDA description':'Direct Marketing & Continuity/Subscription Merchant','IRS Description':'Direct Marketing - Subscription', 'reportable':'No1.6041-3(c)'},"
5969,Direct Marketing & Not Elsewhere Classified,Direct Marketing & Not Elsewhere Classified,Direct Marketing - Other ,No1.6041-3(c),"'5969':{'combined description':'Direct Marketing & Not Elsewhere Classified', 'USDA description':'Direct Marketing & Not Elsewhere Classified','IRS Description':'Direct Marketing - Other ', 'reportable':'No1.6041-3(c)'},"
5970,Artist\'s Supply and Craft Shops,Artist\'s Supply and Craft Shops,Artist\'s Supply and Craft Shops,No1.6041-3(c),"'5970':{'combined description':'Artist\'s Supply and Craft Shops', 'USDA description':'Artist\'s Supply and Craft Shops','IRS Description':'Artist\'s Supply and Craft Shops', 'reportable':'No1.6041-3(c)'},"
5971,Art Dealers and Galleries,Art Dealers and Galleries,Art Dealers and Galleries,No1.6041-3(c),"'5971':{'combined description':'Art Dealers and Galleries', 'USDA description':'Art Dealers and Galleries','IRS Description':'Art Dealers and Galleries', 'reportable':'No1.6041-3(c)'},"
5972,Stamp and Coin Stores & Philatelic and Numismatic Supplies,Stamp and Coin Stores & Philatelic and Numismatic Supplies,Stamp and Coin Stores,No1.6041-3(c),"'5972':{'combined description':'Stamp and Coin Stores & Philatelic and Numismatic Supplies', 'USDA description':'Stamp and Coin Stores & Philatelic and Numismatic Supplies','IRS Description':'Stamp and Coin Stores', 'reportable':'No1.6041-3(c)'},"
5973,Religious Goods Stores,Religious Goods Stores,Religious Goods Stores,No1.6041-3(c),"'5973':{'combined description':'Religious Goods Stores', 'USDA description':'Religious Goods Stores','IRS Description':'Religious Goods Stores', 'reportable':'No1.6041-3(c)'},"
5975,"Hearing Aids & Sales, Service, and Supply Stores","Hearing Aids & Sales, Service, and Supply Stores",Hearing Aids Sales and Supplies,No1.6041-3(c),"'5975':{'combined description':'Hearing Aids & Sales, Service, and Supply Stores', 'USDA description':'Hearing Aids & Sales, Service, and Supply Stores','IRS Description':'Hearing Aids Sales and Supplies', 'reportable':'No1.6041-3(c)'},"
5976,Orthopedic Goods Prosthetic Devices,Orthopedic Goods Prosthetic Devices,Orthopedic Goods - Prosthetic Devices,No1.6041-3(c),"'5976':{'combined description':'Orthopedic Goods Prosthetic Devices', 'USDA description':'Orthopedic Goods Prosthetic Devices','IRS Description':'Orthopedic Goods - Prosthetic Devices', 'reportable':'No1.6041-3(c)'},"
5977,Cosmetic Stores,Cosmetic Stores,Cosmetic Stores,No1.6041-3(c),"'5977':{'combined description':'Cosmetic Stores', 'USDA description':'Cosmetic Stores','IRS Description':'Cosmetic Stores', 'reportable':'No1.6041-3(c)'},"
5978,"Typewriter Stores & Sales, Rental, Service","Typewriter Stores & Sales, Rental, Service",Typewriter Stores,No1.6041-3(c),"'5978':{'combined description':'Typewriter Stores & Sales, Rental, Service', 'USDA description':'Typewriter Stores & Sales, Rental, Service','IRS Description':'Typewriter Stores', 'reportable':'No1.6041-3(c)'},"
5983,"Fuel & Fuel Oil, Wood, Coal, Liquefied Petroleum","Fuel & Fuel Oil, Wood, Coal, Liquefied Petroleum",Fuel Dealers (Non Automotive),No1.6041-3(c),"'5983':{'combined description':'Fuel & Fuel Oil, Wood, Coal, Liquefied Petroleum', 'USDA description':'Fuel & Fuel Oil, Wood, Coal, Liquefied Petroleum','IRS Description':'Fuel Dealers (Non Automotive)', 'reportable':'No1.6041-3(c)'},"
5992,Florists,Florists,Florists,No1.6041-3(c),"'5992':{'combined description':'Florists', 'USDA description':'Florists','IRS Description':'Florists', 'reportable':'No1.6041-3(c)'},"
5993,Cigar Stores and Stands,Cigar Stores and Stands,Cigar Stores and Stands,No1.6041-3(c),"'5993':{'combined description':'Cigar Stores and Stands', 'USDA description':'Cigar Stores and Stands','IRS Description':'Cigar Stores and Stands', 'reportable':'No1.6041-3(c)'},"
5994,News Dealers and Newsstands,News Dealers and Newsstands,News Dealers and Newsstands,No1.6041-3(c),"'5994':{'combined description':'News Dealers and Newsstands', 'USDA description':'News Dealers and Newsstands','IRS Description':'News Dealers and Newsstands', 'reportable':'No1.6041-3(c)'},"
5995,"Pet Shops, Pet Foods, and Supplies Stores","Pet Shops, Pet Foods, and Supplies Stores","Pet Shops, Pet Food, and Supplies",No1.6041-3(c),"'5995':{'combined description':'Pet Shops, Pet Foods, and Supplies Stores', 'USDA description':'Pet Shops, Pet Foods, and Supplies Stores','IRS Description':'Pet Shops, Pet Food, and Supplies', 'reportable':'No1.6041-3(c)'},"
5996,"Swimming Pools & Sales, Service, and Supplies","Swimming Pools & Sales, Service, and Supplies",Swimming Pools Sales,No1.6041-3(c),"'5996':{'combined description':'Swimming Pools & Sales, Service, and Supplies', 'USDA description':'Swimming Pools & Sales, Service, and Supplies','IRS Description':'Swimming Pools Sales', 'reportable':'No1.6041-3(c)'},"
5997,Electric Razor Stores & Sales and Service,Electric Razor Stores & Sales and Service,Electric Razor Stores,No1.6041-3(c),"'5997':{'combined description':'Electric Razor Stores & Sales and Service', 'USDA description':'Electric Razor Stores & Sales and Service','IRS Description':'Electric Razor Stores', 'reportable':'No1.6041-3(c)'},"
5998,Tent and Awning Shops,Tent and Awning Shops,Tent and Awning Shops,No1.6041-3(c),"'5998':{'combined description':'Tent and Awning Shops', 'USDA description':'Tent and Awning Shops','IRS Description':'Tent and Awning Shops', 'reportable':'No1.6041-3(c)'},"
5999,Miscellaneous and Specialty Retail Stores,Miscellaneous and Specialty Retail Stores,Miscellaneous Specialty Retail,No1.6041-3(c),"'5999':{'combined description':'Miscellaneous and Specialty Retail Stores', 'USDA description':'Miscellaneous and Specialty Retail Stores','IRS Description':'Miscellaneous Specialty Retail', 'reportable':'No1.6041-3(c)'},"
6010,Financial Institutions & Manual Cash Disbursements,Financial Institutions & Manual Cash Disbursements,Manual Cash Disburse,No1.6041-3(c),"'6010':{'combined description':'Financial Institutions & Manual Cash Disbursements', 'USDA description':'Financial Institutions & Manual Cash Disbursements','IRS Description':'Manual Cash Disburse', 'reportable':'No1.6041-3(c)'},"
6011,Financial Institutions & Manual Cash Disbursements,Financial Institutions & Manual Cash Disbursements,Automated Cash Disburse,No1.6041-3(c),"'6011':{'combined description':'Financial Institutions & Manual Cash Disbursements', 'USDA description':'Financial Institutions & Manual Cash Disbursements','IRS Description':'Automated Cash Disburse', 'reportable':'No1.6041-3(c)'},"
6012,Financial Institutions & Merchandise and Services,Financial Institutions & Merchandise and Services,Financial Institutions,Yes,"'6012':{'combined description':'Financial Institutions & Merchandise and Services', 'USDA description':'Financial Institutions & Merchandise and Services','IRS Description':'Financial Institutions', 'reportable':'Yes'},"
6051,"Non-Financial Institutions & Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques","Non-Financial Institutions & Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques","Non-FI, Money Orders",No1.6041-3(c),"'6051':{'combined description':'Non-Financial Institutions & Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques', 'USDA description':'Non-Financial Institutions & Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques','IRS Description':'Non-FI, Money Orders', 'reportable':'No1.6041-3(c)'},"
6211,Security Brokers/Dealers,Security Brokers/Dealers,Security Brokers/Dealers,Yes,"'6211':{'combined description':'Security Brokers/Dealers', 'USDA description':'Security Brokers/Dealers','IRS Description':'Security Brokers/Dealers', 'reportable':'Yes'},"
6300,"Insurance Sales, Underwriting, and Premiums","Insurance Sales, Underwriting, and Premiums","Insurance Underwriting, Premiums",No1.6041-3(c),"'6300':{'combined description':'Insurance Sales, Underwriting, and Premiums', 'USDA description':'Insurance Sales, Underwriting, and Premiums','IRS Description':'Insurance Underwriting, Premiums', 'reportable':'No1.6041-3(c)'},"
6381,"Insurance Premiums, (no longer valid for first presentment work)","Insurance Premiums, (no longer valid for first presentment work)",,,"'6381':{'combined description':'Insurance Premiums, (no longer valid for first presentment work)', 'USDA description':'Insurance Premiums, (no longer valid for first presentment work)','IRS Description':'', 'reportable':''},"
6399,"Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)","Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)",Insurance - Default,No1.6041-3(c),"'6399':{'combined description':'Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)', 'USDA description':'Insurance, Not Elsewhere Classified ( no longer valid forfirst presentment work)','IRS Description':'Insurance - Default', 'reportable':'No1.6041-3(c)'},"
6513,Real Estate Agents and Managers - Rentals,,Real Estate Agents and Managers - Rentals,Yes,"'6513':{'combined description':'Real Estate Agents and Managers - Rentals', 'USDA description':'','IRS Description':'Real Estate Agents and Managers - Rentals', 'reportable':'Yes'},"
7011,"Lodging & Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)","Lodging & Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)","Hotels, Motels, and Resorts",Yes,"'7011':{'combined description':'Lodging & Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)', 'USDA description':'Lodging & Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)','IRS Description':'Hotels, Motels, and Resorts', 'reportable':'Yes'},"
7012,Timeshares,Timeshares,Timeshares,Yes,"'7012':{'combined description':'Timeshares', 'USDA description':'Timeshares','IRS Description':'Timeshares', 'reportable':'Yes'},"
7032,Sporting and Recreational Camps,Sporting and Recreational Camps,Sporting/Recreation Camps,Yes,"'7032':{'combined description':'Sporting and Recreational Camps', 'USDA description':'Sporting and Recreational Camps','IRS Description':'Sporting/Recreation Camps', 'reportable':'Yes'},"
7033,Trailer Parks and Camp Grounds,Trailer Parks and Camp Grounds,"Trailer Parks, Campgrounds",Yes,"'7033':{'combined description':'Trailer Parks and Camp Grounds', 'USDA description':'Trailer Parks and Camp Grounds','IRS Description':'Trailer Parks, Campgrounds', 'reportable':'Yes'},"
7210,"Laundry, Cleaning, and Garment Services","Laundry, Cleaning, and Garment Services","Laundry, Cleaning Services",Yes,"'7210':{'combined description':'Laundry, Cleaning, and Garment Services', 'USDA description':'Laundry, Cleaning, and Garment Services','IRS Description':'Laundry, Cleaning Services', 'reportable':'Yes'},"
7211,Laundry & Family and Commercial,Laundry & Family and Commercial,Laundries ,Yes,"'7211':{'combined description':'Laundry & Family and Commercial', 'USDA description':'Laundry & Family and Commercial','IRS Description':'Laundries ', 'reportable':'Yes'},"
7216,Dry Cleaners,Dry Cleaners,Dry Cleaners,Yes,"'7216':{'combined description':'Dry Cleaners', 'USDA description':'Dry Cleaners','IRS Description':'Dry Cleaners', 'reportable':'Yes'},"
7217,Carpet and Upholstery Cleaning,Carpet and Upholstery Cleaning,Carpet/Upholstery Cleaning,Yes,"'7217':{'combined description':'Carpet and Upholstery Cleaning', 'USDA description':'Carpet and Upholstery Cleaning','IRS Description':'Carpet/Upholstery Cleaning', 'reportable':'Yes'},"
7221,Photographic Studios,Photographic Studios,Photographic Studios,Yes,"'7221':{'combined description':'Photographic Studios', 'USDA description':'Photographic Studios','IRS Description':'Photographic Studios', 'reportable':'Yes'},"
7230,Barber and Beauty Shops,Barber and Beauty Shops,Barber and Beauty Shops,Yes,"'7230':{'combined description':'Barber and Beauty Shops', 'USDA description':'Barber and Beauty Shops','IRS Description':'Barber and Beauty Shops', 'reportable':'Yes'},"
7251,"Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops","Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops",Shoe Repair/Hat Cleaning,Yes,"'7251':{'combined description':'Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops', 'USDA description':'Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning Shops','IRS Description':'Shoe Repair/Hat Cleaning', 'reportable':'Yes'},"
7261,Funeral Service and Crematories,Funeral Service and Crematories,"Funeral Services, Crematories",Yes,"'7261':{'combined description':'Funeral Service and Crematories', 'USDA description':'Funeral Service and Crematories','IRS Description':'Funeral Services, Crematories', 'reportable':'Yes'},"
7273,Dating and Escort Services,Dating and Escort Services,Dating/Escort Services,Yes,"'7273':{'combined description':'Dating and Escort Services', 'USDA description':'Dating and Escort Services','IRS Description':'Dating/Escort Services', 'reportable':'Yes'},"
7276,Tax Preparation Service,Tax Preparation Service,Tax Preparation Services,Yes,"'7276':{'combined description':'Tax Preparation Service', 'USDA description':'Tax Preparation Service','IRS Description':'Tax Preparation Services', 'reportable':'Yes'},"
7277,"Counseling Service & Debt, Marriage, Personal","Counseling Service & Debt, Marriage, Personal",Counseling Services,Yes,"'7277':{'combined description':'Counseling Service & Debt, Marriage, Personal', 'USDA description':'Counseling Service & Debt, Marriage, Personal','IRS Description':'Counseling Services', 'reportable':'Yes'},"
7278,"Buying/Shopping Services, Clubs","Buying/Shopping Services, Clubs",Buying/Shopping Services,Yes,"'7278':{'combined description':'Buying/Shopping Services, Clubs', 'USDA description':'Buying/Shopping Services, Clubs','IRS Description':'Buying/Shopping Services', 'reportable':'Yes'},"
7296,"Clothing Rental & Costumes, Formal Wear, Uniforms","Clothing Rental & Costumes, Formal Wear, Uniforms",Clothing Rental ,Yes,"'7296':{'combined description':'Clothing Rental & Costumes, Formal Wear, Uniforms', 'USDA description':'Clothing Rental & Costumes, Formal Wear, Uniforms','IRS Description':'Clothing Rental ', 'reportable':'Yes'},"
7297,Massage Parlors,Massage Parlors,Massage Parlors,Yes,"'7297':{'combined description':'Massage Parlors', 'USDA description':'Massage Parlors','IRS Description':'Massage Parlors', 'reportable':'Yes'},"
7298,Health and Beauty Shops,Health and Beauty Shops,Health and Beauty Spas,Yes,"'7298':{'combined description':'Health and Beauty Shops', 'USDA description':'Health and Beauty Shops','IRS Description':'Health and Beauty Spas', 'reportable':'Yes'},"
7299,Miscellaneous Personal Services ( not elsewhere classifies),Miscellaneous Personal Services ( not elsewhere classifies),Miscellaneous General Services,Yes,"'7299':{'combined description':'Miscellaneous Personal Services ( not elsewhere classifies)', 'USDA description':'Miscellaneous Personal Services ( not elsewhere classifies)','IRS Description':'Miscellaneous General Services', 'reportable':'Yes'},"
7311,Advertising Services,Advertising Services,Advertising Services,Yes,"'7311':{'combined description':'Advertising Services', 'USDA description':'Advertising Services','IRS Description':'Advertising Services', 'reportable':'Yes'},"
7321,Consumer Credit Reporting Agencies,Consumer Credit Reporting Agencies,Credit Reporting Agencies,Yes,"'7321':{'combined description':'Consumer Credit Reporting Agencies', 'USDA description':'Consumer Credit Reporting Agencies','IRS Description':'Credit Reporting Agencies', 'reportable':'Yes'},"
7332,Blueprinting and Photocopying Services,Blueprinting and Photocopying Services,,,"'7332':{'combined description':'Blueprinting and Photocopying Services', 'USDA description':'Blueprinting and Photocopying Services','IRS Description':'', 'reportable':''},"
7333,"Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics",Yes,"'7333':{'combined description':'Commercial Photography, Art and Graphics', 'USDA description':'Commercial Photography, Art and Graphics','IRS Description':'Commercial Photography, Art and Graphics', 'reportable':'Yes'},"
7338,"Quick Copy, Reproduction and Blueprinting Services","Quick Copy, Reproduction and Blueprinting Services","Quick Copy, Repro, and Blueprint",Yes,"'7338':{'combined description':'Quick Copy, Reproduction and Blueprinting Services', 'USDA description':'Quick Copy, Reproduction and Blueprinting Services','IRS Description':'Quick Copy, Repro, and Blueprint', 'reportable':'Yes'},"
7339,Stenographic and Secretarial Support Services,Stenographic and Secretarial Support Services,Secretarial Support Services,Yes,"'7339':{'combined description':'Stenographic and Secretarial Support Services', 'USDA description':'Stenographic and Secretarial Support Services','IRS Description':'Secretarial Support Services', 'reportable':'Yes'},"
7342,Exterminating and Disinfecting Services,Exterminating and Disinfecting Services,Exterminating Services,Yes,"'7342':{'combined description':'Exterminating and Disinfecting Services', 'USDA description':'Exterminating and Disinfecting Services','IRS Description':'Exterminating Services', 'reportable':'Yes'},"
7349,"Cleaning and Maintenance, Janitorial Services","Cleaning and Maintenance, Janitorial Services",Cleaning and Maintenance,Yes,"'7349':{'combined description':'Cleaning and Maintenance, Janitorial Services', 'USDA description':'Cleaning and Maintenance, Janitorial Services','IRS Description':'Cleaning and Maintenance', 'reportable':'Yes'},"
7361,"Employment Agencies, Temporary Help Services","Employment Agencies, Temporary Help Services",Employment/Temp Agencies,Yes,"'7361':{'combined description':'Employment Agencies, Temporary Help Services', 'USDA description':'Employment Agencies, Temporary Help Services','IRS Description':'Employment/Temp Agencies', 'reportable':'Yes'},"
7372,"Computer Programming, Integrated Systems Design and Data Processing Services","Computer Programming, Integrated Systems Design and Data Processing Services",Computer Programming,Yes,"'7372':{'combined description':'Computer Programming, Integrated Systems Design and Data Processing Services', 'USDA description':'Computer Programming, Integrated Systems Design and Data Processing Services','IRS Description':'Computer Programming', 'reportable':'Yes'},"
7375,Information Retrieval Services,Information Retrieval Services,Information Retrieval Services,Yes,"'7375':{'combined description':'Information Retrieval Services', 'USDA description':'Information Retrieval Services','IRS Description':'Information Retrieval Services', 'reportable':'Yes'},"
7379,"Computer Maintenance and Repair Services, Not Elsewhere Classified","Computer Maintenance and Repair Services, Not Elsewhere Classified",Computer Repair,Yes,"'7379':{'combined description':'Computer Maintenance and Repair Services, Not Elsewhere Classified', 'USDA description':'Computer Maintenance and Repair Services, Not Elsewhere Classified','IRS Description':'Computer Repair', 'reportable':'Yes'},"
7392,"Management, Consulting, and Public Relations Services","Management, Consulting, and Public Relations Services","Consulting, Public Relations",Yes,"'7392':{'combined description':'Management, Consulting, and Public Relations Services', 'USDA description':'Management, Consulting, and Public Relations Services','IRS Description':'Consulting, Public Relations', 'reportable':'Yes'},"
7393,Protective and Security Services & Including Armored Carsand Guard Dogs,Protective and Security Services & Including Armored Carsand Guard Dogs,Detective Agencies,Yes,"'7393':{'combined description':'Protective and Security Services & Including Armored Carsand Guard Dogs', 'USDA description':'Protective and Security Services & Including Armored Carsand Guard Dogs','IRS Description':'Detective Agencies', 'reportable':'Yes'},"
7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental","Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",Equipment Rental ,Yes,"'7394':{'combined description':'Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental', 'USDA description':'Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental','IRS Description':'Equipment Rental ', 'reportable':'Yes'},"
7395,"Photofinishing Laboratories, Photo Developing","Photofinishing Laboratories, Photo Developing",Photo Developing,Yes,"'7395':{'combined description':'Photofinishing Laboratories, Photo Developing', 'USDA description':'Photofinishing Laboratories, Photo Developing','IRS Description':'Photo Developing', 'reportable':'Yes'},"
7399,"Business Services, Not Elsewhere Classified","Business Services, Not Elsewhere Classified",Miscellaneous Business Services ,Yes,"'7399':{'combined description':'Business Services, Not Elsewhere Classified', 'USDA description':'Business Services, Not Elsewhere Classified','IRS Description':'Miscellaneous Business Services ', 'reportable':'Yes'},"
7511,Truck Stop,,Truck Stop,Yes,"'7511':{'combined description':'Truck Stop', 'USDA description':'','IRS Description':'Truck Stop', 'reportable':'Yes'},"
7512,Car Rental Companies ( Not Listed Below),Car Rental Companies ( Not Listed Below),Car Rental Agencies,Yes,"'7512':{'combined description':'Car Rental Companies ( Not Listed Below)', 'USDA description':'Car Rental Companies ( Not Listed Below)','IRS Description':'Car Rental Agencies', 'reportable':'Yes'},"
7513,Truck and Utility Trailer Rentals,Truck and Utility Trailer Rentals,Truck/Utility Trailer Rentals,Yes,"'7513':{'combined description':'Truck and Utility Trailer Rentals', 'USDA description':'Truck and Utility Trailer Rentals','IRS Description':'Truck/Utility Trailer Rentals', 'reportable':'Yes'},"
7519,Motor Home and Recreational Vehicle Rentals,Motor Home and Recreational Vehicle Rentals,Recreational Vehicle Rentals,Yes,"'7519':{'combined description':'Motor Home and Recreational Vehicle Rentals', 'USDA description':'Motor Home and Recreational Vehicle Rentals','IRS Description':'Recreational Vehicle Rentals', 'reportable':'Yes'},"
7523,Automobile Parking Lots and Garages,Automobile Parking Lots and Garages,"Parking Lots, Garages",Yes,"'7523':{'combined description':'Automobile Parking Lots and Garages', 'USDA description':'Automobile Parking Lots and Garages','IRS Description':'Parking Lots, Garages', 'reportable':'Yes'},"
7531,Automotive Body Repair Shops,Automotive Body Repair Shops,Auto Body Repair Shops,Yes,"'7531':{'combined description':'Automotive Body Repair Shops', 'USDA description':'Automotive Body Repair Shops','IRS Description':'Auto Body Repair Shops', 'reportable':'Yes'},"
7534,Tire Re-treading and Repair Shops,Tire Re-treading and Repair Shops,Tire Retreading and Repair,Yes,"'7534':{'combined description':'Tire Re-treading and Repair Shops', 'USDA description':'Tire Re-treading and Repair Shops','IRS Description':'Tire Retreading and Repair', 'reportable':'Yes'},"
7535,Paint Shops & Automotive,Paint Shops & Automotive,Auto Paint Shops,Yes,"'7535':{'combined description':'Paint Shops & Automotive', 'USDA description':'Paint Shops & Automotive','IRS Description':'Auto Paint Shops', 'reportable':'Yes'},"
7538,Automotive Service Shops,Automotive Service Shops,Auto Service Shops,Yes,"'7538':{'combined description':'Automotive Service Shops', 'USDA description':'Automotive Service Shops','IRS Description':'Auto Service Shops', 'reportable':'Yes'},"
7542,Car Washes,Car Washes,Car Washes,Yes,"'7542':{'combined description':'Car Washes', 'USDA description':'Car Washes','IRS Description':'Car Washes', 'reportable':'Yes'},"
7549,Towing Services,Towing Services,Towing Services,Yes,"'7549':{'combined description':'Towing Services', 'USDA description':'Towing Services','IRS Description':'Towing Services', 'reportable':'Yes'},"
7622,Radio Repair Shops,Radio Repair Shops,Electronics Repair Shops,Yes,"'7622':{'combined description':'Radio Repair Shops', 'USDA description':'Radio Repair Shops','IRS Description':'Electronics Repair Shops', 'reportable':'Yes'},"
7623,Air Conditioning and Refrigeration Repair Shops,Air Conditioning and Refrigeration Repair Shops,"A/C, Refrigeration Repair",Yes,"'7623':{'combined description':'Air Conditioning and Refrigeration Repair Shops', 'USDA description':'Air Conditioning and Refrigeration Repair Shops','IRS Description':'A/C, Refrigeration Repair', 'reportable':'Yes'},"
7629,Electrical And Small Appliance Repair Shops,Electrical And Small Appliance Repair Shops,Small Appliance Repair,Yes,"'7629':{'combined description':'Electrical And Small Appliance Repair Shops', 'USDA description':'Electrical And Small Appliance Repair Shops','IRS Description':'Small Appliance Repair', 'reportable':'Yes'},"
7631,"Watch, Clock, and Jewelry Repair","Watch, Clock, and Jewelry Repair",Watch/Jewelry Repair,Yes,"'7631':{'combined description':'Watch, Clock, and Jewelry Repair', 'USDA description':'Watch, Clock, and Jewelry Repair','IRS Description':'Watch/Jewelry Repair', 'reportable':'Yes'},"
7641,"Furniture, Furniture Repair, and Furniture Refinishing","Furniture, Furniture Repair, and Furniture Refinishing","Furniture Repair, Refinishing",Yes,"'7641':{'combined description':'Furniture, Furniture Repair, and Furniture Refinishing', 'USDA description':'Furniture, Furniture Repair, and Furniture Refinishing','IRS Description':'Furniture Repair, Refinishing', 'reportable':'Yes'},"
7692,Welding Repair,Welding Repair,Welding Repair,Yes,"'7692':{'combined description':'Welding Repair', 'USDA description':'Welding Repair','IRS Description':'Welding Repair', 'reportable':'Yes'},"
7699,Repair Shops and Related Services &Miscellaneous,Repair Shops and Related Services &Miscellaneous,Miscellaneous Repair Shops,Yes,"'7699':{'combined description':'Repair Shops and Related Services &Miscellaneous', 'USDA description':'Repair Shops and Related Services &Miscellaneous','IRS Description':'Miscellaneous Repair Shops', 'reportable':'Yes'},"
7829,Motion Pictures and Video Tape Production and Distribution,Motion Pictures and Video Tape Production and Distribution,Picture/Video Production,Yes,"'7829':{'combined description':'Motion Pictures and Video Tape Production and Distribution', 'USDA description':'Motion Pictures and Video Tape Production and Distribution','IRS Description':'Picture/Video Production', 'reportable':'Yes'},"
7832,Motion Picture Theaters,Motion Picture Theaters,Motion Picture Theaters,Yes,"'7832':{'combined description':'Motion Picture Theaters', 'USDA description':'Motion Picture Theaters','IRS Description':'Motion Picture Theaters', 'reportable':'Yes'},"
7841,Video Tape Rental Stores,Video Tape Rental Stores,Video Tape Rental Stores,Yes,"'7841':{'combined description':'Video Tape Rental Stores', 'USDA description':'Video Tape Rental Stores','IRS Description':'Video Tape Rental Stores', 'reportable':'Yes'},"
7911,"Dance Halls, Studios and Schools","Dance Halls, Studios and Schools","Dance Hall, Studios, Schools",Yes,"'7911':{'combined description':'Dance Halls, Studios and Schools', 'USDA description':'Dance Halls, Studios and Schools','IRS Description':'Dance Hall, Studios, Schools', 'reportable':'Yes'},"
7922,"Theatrical Producers (Except Motion Pictures), Ticket Agencies","Theatrical Producers (Except Motion Pictures), Ticket Agencies",Theatrical Ticket Agencies,Yes,"'7922':{'combined description':'Theatrical Producers (Except Motion Pictures), Ticket Agencies', 'USDA description':'Theatrical Producers (Except Motion Pictures), Ticket Agencies','IRS Description':'Theatrical Ticket Agencies', 'reportable':'Yes'},"
7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)","Bands, Orchestras",Yes,"'7929':{'combined description':'Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)', 'USDA description':'Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)','IRS Description':'Bands, Orchestras', 'reportable':'Yes'},"
7932,Billiard and Pool Establishments,Billiard and Pool Establishments,Billiard/Pool Establishments,Yes,"'7932':{'combined description':'Billiard and Pool Establishments', 'USDA description':'Billiard and Pool Establishments','IRS Description':'Billiard/Pool Establishments', 'reportable':'Yes'},"
